month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,temp_mean_daily_min,total_visitor,wet_bulb_temperature
2014-12-01,48.2,17,245.6,82.6,3.7,24.7,1360541,24.71545698924731
2015-01-01,33.6,6,79.6,77.6,7.4,24.6,1252608,23.8377688172043
2015-02-01,10.8,6,18.8,75.4,7.3,24.4,1188818,23.633035714285715
2015-03-01,46.0,5,84.4,75.8,7.3,25.5,1201648,24.765860215053763
2015-04-01,18.8,13,73.2,77.1,7.2,25.9,1208624,25.373055555555553
2015-05-01,22.2,12,89.0,78.9,5.8,26.4,1222836,25.795564516129033
2015-06-01,28.4,10,95.8,75.8,6.7,26.6,1184747,25.58625
2015-07-01,45.8,13,116.8,74.9,7.1,26.7,1519233,25.54422043010753
2015-08-01,63.2,11,185.8,76.7,6.1,26.0,1445062,25.17755376344086
2015-09-01,18.4,8,61.6,75.0,4.3,26.5,1131976,25.183611111111112
2015-10-01,28.6,9,87.2,75.4,4.7,26.1,1246947,25.2127688172043
2015-11-01,25.8,13,72.6,79.1,4.8,25.5,1203992,25.090416666666666
2015-12-01,40.4,19,302.3,81.1,5.3,25.0,1424978,25.13037634408602
2016-01-01,39.6,15,126.6,79.6,7.2,26.0,1412123,25.472580645161287
2016-02-01,71.8,10,186.0,78.8,6.5,25.6,1335097,24.938505747126438
2016-03-01,2.4,6,6.2,74.7,8.0,26.6,1406607,25.40456989247312
2016-04-01,18.2,14,89.8,75.6,7.0,26.7,1393972,25.945277777777775
2016-05-01,54.8,12,193.8,77.4,6.2,26.5,1357543,26.075806451612905
2016-06-01,67.8,13,162.8,77.7,5.4,26.1,1270531,25.419166666666666
2016-07-01,59.4,20,168.6,77.3,6.3,25.8,1622405,25.259543010752687
2016-08-01,30.6,15,139.2,74.0,6.7,26.2,1481876,25.236155913978497
2016-09-01,34.0,15,118.9,73.9,5.5,25.1,1144063,24.610138888888887
2016-10-01,75.4,16,181.0,72.0,4.6,25.2,1237675,24.35282258064516
2016-11-01,65.6,20,290.2,77.6,3.5,24.9,1235433,24.353194444444444
2016-12-01,73.0,23,292.6,72.8,5.1,24.7,1506134,23.570833333333333
2017-01-01,60.6,21,197.6,84.8,4.8,24.7,1480479,24.893010752688173
2017-02-01,31.0,15,158.4,83.2,7.1,24.7,1361010,24.679464285714282
2017-03-01,30.2,11,136.2,82.5,6.1,24.9,1480161,24.988440860215057
2017-04-01,42.8,21,208.6,83.5,5.3,25.0,1470750,25.54638888888889
2017-05-01,44.8,15,190.0,82.8,5.9,25.9,1363897,26.114650537634407
2017-06-01,29.6,10,106.0,80.2,6.3,25.9,1387601,25.75847222222222
2017-07-01,30.2,9,79.6,79.6,7.0,26.0,1632135,25.50577956989247
2017-08-01,29.4,18,84.2,79.9,6.1,25.9,1559283,25.39059139784946
2017-09-01,20.2,19,124.4,81.0,5.7,25.4,1320050,25.380555555555556
2017-10-01,31.2,18,120.8,82.5,5.5,25.3,1402299,25.47970430107527
2017-11-01,45.2,24,268.6,86.3,4.2,24.6,1397330,25.229999999999997
2017-12-01,69.8,23,371.2,85.2,5.6,24.6,1569616,25.010080645161292
2018-01-01,45.8,25,287.0,86.6,4.1,24.0,1563359,24.34543010752688
2018-02-01,13.0,5,14.8,77.2,8.0,24.8,1491970,24.058630952380952
2018-03-01,15.2,10,44.6,78.4,6.4,25.4,1584406,24.96532258064516
2018-04-01,14.0,14,61.2,78.5,6.8,25.8,1544248,25.470000000000002
2018-05-01,47.4,19,132.2,79.0,5.8,26.2,1470891,25.72244623655914
2018-06-01,46.8,17,182.6,79.3,4.1,25.6,1544679,25.57097222222222
2018-07-01,32.4,10,143.2,77.7,6.1,26.0,1732896,25.403091397849465
2018-08-01,34.6,11,121.6,77.0,6.7,26.1,1683122,25.324596774193548
2018-09-01,45.0,13,144.4,77.1,6.0,25.3,1415149,24.81625
2018-10-01,60.6,18,234.4,79.7,6.1,25.2,1467380,25.083870967741937
2018-11-01,20.6,27,169.6,83.2,3.8,24.6,1406985,25.04638888888889
2018-12-01,43.8,19,172.6,81.5,5.1,25.3,1603217,25.06532258064516
2019-01-01,38.2,9,63.6,75.6,7.1,25.6,1624593,24.605376344086025
2019-02-01,13.4,5,31.6,74.1,9.2,25.4,1499051,24.58169642857143
2019-03-01,29.0,6,72.2,72.3,8.3,25.6,1564664,24.7375
2019-04-01,52.4,9,174.8,77.6,5.9,25.9,1596724,25.502777777777776
2019-05-01,17.2,13,69.0,79.2,7.0,26.5,1487791,26.34193548387097
2019-06-01,37.6,16,173.8,79.5,5.3,26.1,1551847,25.61277777777778
2019-07-01,6.6,8,12.2,75.2,7.5,26.9,1802593,25.546505376344083
2019-08-01,3.8,6,11.8,72.1,7.6,27.1,1736102,25.14758064516129
2019-09-01,16.4,4,22.8,73.0,6.7,26.6,1463543,25.17666666666667
2019-10-01,92.2,15,176.8,78.1,6.5,25.3,1530479,25.08306451612903
2019-11-01,73.4,15,137.4,79.2,5.5,25.4,1533668,25.128194444444443
2019-12-01,74.2,14,421.5,83.9,4.8,24.6,1724961,24.581317204301076
2020-01-01,38.0,6,88.4,77.9,7.1,25.2,1688102,24.690725806451614
2020-02-01,23.8,8,65.0,76.0,8.3,25.3,732966,24.543390804597703
2020-03-01,47.4,8,108.8,75.2,7.6,25.9,240001,25.122580645161293
2020-04-01,51.8,12,188.0,76.4,7.1,26.0,750,25.509722222222223
2020-05-01,53.8,16,255.6,79.1,5.7,26.1,880,26.02405913978495
2020-06-01,41.0,21,233.8,80.2,4.3,25.5,2171,25.440416666666664
2020-07-01,30.4,22,140.8,78.2,5.7,25.5,6843,25.021639784946235
2020-08-01,34.6,12,103.4,76.8,6.4,25.9,8912,25.113844086021505
2020-09-01,32.8,18,150.2,79.0,4.8,24.9,9500,24.719305555555557
2020-10-01,19.0,16,78.8,75.4,4.3,25.6,13399,24.916263440860217
2020-11-01,64.2,19,220.6,81.7,4.0,25.0,14749,24.803055555555556
2020-12-01,58.2,20,253.2,81.1,5.2,24.5,24170,24.651612903225807
2021-01-01,210.6,17,692.8,82.6,4.2,23.8,23366,23.73333333333333
2021-02-01,0.6,2,1.0,73.8,8.2,24.8,18141,23.745386904761904
2021-03-01,38.0,14,182.4,76.6,7.3,25.0,27202,24.68938172043011
2021-04-01,83.8,14,290.4,77.4,6.8,25.3,25737,25.122500000000002
2021-05-01,49.8,13,245.8,79.3,6.0,26.0,14190,25.861424731182797
2021-06-01,23.8,20,93.4,77.8,6.5,25.6,10029,25.489305555555553
2021-07-01,75.0,12,195.8,76.5,6.8,26.2,18517,25.36922043010753
2021-08-01,71.4,24,293.6,80.4,4.8,24.8,15887,24.96317204301075
2021-09-01,63.4,14,205.4,77.3,6.4,25.6,19009,25.195833333333333
2021-10-01,59.6,14,177.0,78.3,6.2,25.8,24006,25.493682795698923
2021-11-01,47.8,23,312.4,81.7,4.9,24.8,41179,25.111944444444443
2021-12-01,46.8,15,119.6,79.7,5.4,25.4,92796,24.95604838709677
2022-01-01,50.0,9,99.8,77.4,8.3,24.9,57174,24.380913978494625
2022-02-01,29.6,16,175.0,80.3,5.9,24.8,67765,24.64985119047619
2022-03-01,36.2,21,163.2,79.2,6.4,25.1,121207,25.253225806451614
2022-04-01,58.8,18,239.6,80.0,5.2,25.1,295095,25.375416666666666
2022-05-01,44.6,12,102.0,76.5,6.7,26.2,418458,25.881317204301077
2022-06-01,59.4,17,211.8,79.1,4.7,25.3,543733,25.118055555555557
2022-07-01,27.8,16,145.2,76.8,6.2,25.8,726739,25.43911290322581
2022-08-01,32.4,15,141.4,77.4,5.5,25.8,728744,25.072311827956987
